station_order,global_order,timestamp,route_info,date
24,10,33884.0,1/00720,1
25,10,33980.0,1/00720,1
26,10,34186.0,1/00720,1
27,10,34342.0,1/00720,1
28,10,34412.0,1/00720,1
29,10,34531.0,1/00720,1
1,11,28398.0,1/00720,1
2,11,28583.0,1/00720,1
3,11,28960.0,1/00720,1
4,11,29134.0,1/00720,1
5,11,29589.0,1/00720,1
6,11,29747.0,1/00720,1
7,11,29942.0,1/00720,1
8,11,30137.0,1/00720,1
9,11,30401.0,1/00720,1
10,11,30906.0,1/00720,1
11,11,31112.0,1/00720,1
12,11,31288.0,1/00720,1
13,11,31400.0,1/00720,1
14,11,31874.0,1/00720,1
15,11,32134.0,1/00720,1
16,11,32459.0,1/00720,1
17,11,32638.0,1/00720,1
18,11,33039.0,1/00720,1
19,11,33143.0,1/00720,1
20,11,33630.0,1/00720,1
21,11,33734.0,1/00720,1
22,11,33871.0,1/00720,1
23,11,33952.0,1/00720,1
24,11,34047.0,1/00720,1
25,11,34147.0,1/00720,1
26,11,34231.0,1/00720,1
27,11,34347.0,1/00720,1
28,11,34427.0,1/00720,1
29,11,34565.0,1/00720,1
1,12,28811.0,1/00720,1
2,12,28944.0,1/00720,1
3,12,29138.0,1/00720,1
4,12,29269.0,1/00720,1
5,12,29739.0,1/00720,1
6,12,29910.0,1/00720,1
7,12,30094.0,1/00720,1
8,12,30183.0,1/00720,1
9,12,30525.0,1/00720,1
10,12,31302.0,1/00720,1
11,12,31483.0,1/00720,1
12,12,31638.0,1/00720,1
13,12,31759.0,1/00720,1
14,12,32142.0,1/00720,1
15,12,32431.0,1/00720,1
16,12,32632.0,1/00720,1
17,12,32750.0,1/00720,1
18,12,33043.0,1/00720,1
19,12,33153.0,1/00720,1
20,12,33642.0,1/00720,1
21,12,33749.0,1/00720,1
22,12,33877.0,1/00720,1
23,12,34096.0,1/00720,1
24,12,34199.0,1/00720,1
25,12,34307.0,1/00720,1
26,12,34382.0,1/00720,1
27,12,34532.0,1/00720,1
28,12,34590.0,1/00720,1
29,12,34727.0,1/00720,1
1,13,29259.0,1/00720,1
2,13,29478.0,1/00720,1
3,13,29683.0,1/00720,1
4,13,29836.0,1/00720,1
